user_id	post_name
1	2843
2	9684
3	6866
4	12991
5	2156
6	9877
7	2422
8	4113
9	237
10	34908
11	10774
12	12332
13	20394
14	738
15	4554
16	1149
17	31902
18	24838
19	30912
20	2951
21	1959
22	8856
23	520
24	15670
25	27168
26	5999
27	37769
28	3811
29	1187
30	34284
31	12733
32	31009
33	47169
34	4969
35	3100
36	645
37	6466
38	238
39	3808
40	41975
41	1101
42	30563
43	7720
44	13041
45	1985
46	8118
47	5460
48	6869
49	2578
50	30304
51	41886
52	12058
53	9208
54	5857
55	34785
56	74
57	15693
58	54152
59	15179
60	3699
61	2851
62	38277
63	144
64	12131
65	18666
66	34
67	30445
68	1434
69	7311
70	2389
71	12734
72	38132
73	14544
74	6207
75	43367
76	10557
77	774
78	13796
79	32105
80	19646
81	3507
82	763
83	3766
84	3903
85	3495
86	40239
87	60551
88	1695
89	4148
90	37500
91	38202
92	40508
93	14714
94	20814
95	16145
96	9926
97	4870
98	3937
99	3859
100	15504
101	42913
102	60949
103	12907
104	14671
105	8504
106	60061
107	19955
108	3333
109	12100
110	38911
111	141
112	14030
113	13464
114	8679
115	32332
116	20671
117	20765
118	6058
119	760
120	30715
121	20503
122	28645
123	28646
124	4337
125	4546
126	15054
127	2472
128	19389
129	11231
130	11173
131	29253
132	4062
133	10752
134	43466
135	43260
136	16508
137	4794
138	65658
139	489
140	23817
141	7441
142	23779
143	23318
144	20670
145	38696
146	17720
147	3821
148	65098
149	3861
150	30092
151	9137
152	806
153	19089
154	14371
155	7205
156	17305
157	12101
158	8449
159	82564
160	807
161	8533
162	5034
163	23339
164	21356
165	28989
166	18909
167	2157
168	4229
169	4418
170	54153
171	17777
172	4772
173	3089
174	38919
175	74101
176	14248
177	2829
178	2280
179	9518
180	2668
181	23281
182	6467
183	566
184	72326
185	25820
186	4895
187	32395
188	6412
189	143
190	4732
191	3896
192	756
193	15823
194	9475
195	65000
196	8983
197	8520
198	6459
199	18479
200	22066
201	14516
202	5252
203	7893
204	5296
205	2198
206	2196
207	17079
208	6391
209	2852
210	15374
211	21431
212	8635
213	8976
214	18699
215	39495
216	29495
217	12229
218	361
219	12256
220	28082
221	41236
222	18698
223	3718
224	15477
225	236
226	29724
227	14162
228	7156
229	4395
230	17228
231	25512
232	802
233	2527
234	3513
235	18673
236	28251
237	24331
238	493
239	3174
240	460
241	13620
242	2657
243	2658
244	8348
245	13168
246	1718
247	3163
248	8555
249	193
250	1158
251	2659
252	36527
253	33346
254	54154
255	2444
256	33537
257	4774
258	5392
259	42525
260	2718
261	52673
262	3003
263	2719
264	39813
265	1224
266	3758
267	10305
268	14080
269	2720
270	25362
271	15315
272	2017
273	4177
274	47459
275	13811
276	14286
277	37501
278	24947
279	326
280	23310
281	4165
282	10316
283	21353
284	30596
285	6140
286	871
287	6585
288	31540
289	1159
290	27283
291	24824
292	4640
293	624
294	28967
295	2684
296	15939
297	24840
298	13239
299	8910
300	25809
301	12346
302	6268
303	48631
304	13367
305	20864
306	12337
307	11498
308	2182
309	18700
310	2183
311	19801
312	12055
313	19096
314	29215
315	40665
316	18015
317	45471
318	15505
319	59394
320	4744
321	50207
322	11608
323	31276
324	2501
325	17961
326	12817
327	13919
328	12193
329	35540
330	21991
331	33092
332	12194
333	3071
334	24447
335	58745
336	9314
337	3927
338	37057
339	17164
340	34903
341	2010
342	1475
343	24919
344	14495
345	53
346	5466
347	2669
348	3842
349	18485
350	18171
351	24284
352	1770
353	7078
354	20215
355	10470
356	2105
357	16540
358	4521
359	8202
360	1868
361	6059
362	8350
363	2847
364	11225
365	2818
366	46684
367	13333
368	6665
369	8137
370	3720
371	5853
372	7284
373	30597
374	1724
375	3425
376	26644
377	37812
378	15454
379	1162
380	18991
381	22145
382	1152
383	12883
384	10261
385	28647
386	26422
387	24842
388	21648
389	27284
390	11768
391	21574
392	10361
393	559
394	23867
395	1727
396	22394
397	17722
398	4419
399	41285
400	17511
401	7120
402	31825
403	24841
404	23466
405	24826
406	8521
407	33055
408	2295
409	129
410	19118
411	8197
412	16112
413	6926
414	20489
415	20672
416	20673
417	20912
418	17619
419	428
420	33578
421	10111
422	38332
423	13122
424	11767
425	1987
426	12874
427	6712
428	5743
429	15699
430	4243
431	11020
432	5951
433	4140
434	55
435	22711
436	1042
437	33458
438	43525
439	804
440	13461
441	4278
442	3569
443	4990
444	26615
445	6209
446	36754
447	905
448	9530
449	257
450	9773
451	25168
452	8790
453	13997
454	12301
455	2318
456	248
457	12302
458	6794
459	11481
460	860
461	3904
462	5290
463	13219
464	31211
465	15843
466	10231
467	3905
468	23053
469	37617
470	22688
471	2479
472	13045
473	38312
474	5723
475	28237
476	362
477	4657
478	4642
479	3092
480	1326
481	2544
482	36633
483	10154
484	2952
485	2369
486	13951
487	12032
488	9001
489	7250
490	15198
491	15978
492	2610
493	34452
494	14855
495	8257
496	34634
497	24677
498	14676
499	7826
500	91
501	31154
502	11326
503	59519
504	25810
505	4643
506	65164
507	1692
508	11327
509	15845
510	48578
511	55859
512	370
513	2633
514	12231
515	11985
516	32944
517	1327
518	20490
519	14677
520	27544
521	27578
522	24122
523	17398
524	9342
525	53127
526	12910
527	11328
528	234
529	34728
530	6000
531	28895
532	19899
533	8077
534	20880
535	3312
536	577
537	3488
538	2480
539	4831
540	24566
541	48397
542	28925
543	55933
544	24194
545	6544
546	6380
547	1347
548	1989
549	9581
550	25129
551	29933
552	6379
553	5074
554	944
555	22207
556	7218
557	30891
558	10788
559	4421
560	12357
561	7896
562	13100
563	7509
564	14616
565	15708
566	17098
567	1167
568	12944
569	3497
570	11909
571	4494
572	28254
573	3245
574	7980
575	26724
576	23939
577	5313
578	30052
579	15205
580	14791
581	1476
582	827
583	8203
584	17871
585	13081
586	2516
587	16660
588	15597
589	17813
590	4219
591	11280
592	28641
593	19451
594	10433
595	10839
596	2845
597	33712
598	42573
599	15822
600	9533
601	2354
602	23877
603	19738
604	1534
605	28347
606	5653
607	2252
608	224
609	7337
610	42602
611	46699
612	19771
613	6139
614	8563
615	24946
616	27048
617	5366
618	10155
619	20075
620	34635
621	22874
622	1163
623	12003
624	249
625	10353
626	37489
627	5626
628	3575
629	7049
630	7174
631	2008
632	5027
633	18948
634	15016
635	40029
636	767
637	9859
638	8268
639	34300
640	18510
641	838
642	2691
643	4400
644	171
645	32285
646	7722
647	6173
648	49624
649	35447
650	12516
651	22272
652	34730
653	22515
654	8269
655	39260
656	32505
657	20074
658	617
659	2723
660	12199
661	1764
662	7724
663	35445
664	43261
665	1693
666	296
667	480
668	14091
669	16215
670	43368
671	10434
672	6433
673	31579
674	86496
675	6679
676	22795
677	16080
678	15230
679	10052
680	1463
681	4970
682	4260
683	17792
684	32438
685	49029
686	47080
687	3529
688	8085
689	22713
690	14458
691	3445
692	8475
693	14940
694	48198
695	42124
696	22264
697	34637
698	1506
699	17981
700	18627
701	62983
702	2653
703	10322
704	5469
705	21750
706	748
707	22498
708	28790
709	20808
710	32982
711	17664
712	33139
713	3368
714	3576
715	4987
716	5654
717	34902
718	17518
719	40860
720	46300
721	69347
722	30407
723	20984
724	4832
725	26809
726	6418
727	4768
728	9428
729	50488
730	10121
731	40047
732	1060
733	6383
734	8921
735	17822
736	22265
737	59657
738	21855
739	20675
740	3675
741	1587
742	6271
743	5774
744	6382
745	26448
746	22828
747	1575
748	27114
749	15668
750	11210
751	48696
752	21075
753	5208
754	19361
755	42417
756	8945
757	12552
758	399
759	6419
760	20493
761	10589
762	17573
763	30053
764	16042
765	54904
766	12415
767	29218
768	21333
769	15302
770	25315
771	2393
772	4183
773	2311
774	2281
775	2540
776	6420
777	30022
778	35033
779	30
780	24897
781	18569
782	24850
783	8451
784	12945
785	1376
786	4174
787	7335
788	8294
789	28564
790	2628
791	7083
792	51948
793	10323
794	1843
795	12076
796	26459
797	30517
798	44151
799	64181
800	20674
801	3778
802	7336
803	1775
804	7370
805	24212
806	18512
807	6322
808	2296
809	11269
810	5535
811	55227
812	23610
813	12865
814	16164
815	10458
816	9026
817	2304
818	9041
819	1995
820	13072
821	140
822	10699
823	5269
824	54176
825	869
826	13206
827	2953
828	67
829	1723
830	389
831	3184
832	10188
833	15093
834	14913
835	4641
836	8515
837	5614
838	20615
839	17415
840	2451
841	3427
842	6285
843	3686
844	14394
845	2635
846	29572
847	9051
848	3577
849	4777
850	10275
851	9483
852	6305
853	3272
854	17786
855	26736
856	9758
857	18421
858	15235
859	16623
860	8382
861	8159
862	14456
863	49984
864	33414
865	928
866	15533
867	25316
868	27885
869	6329
870	16445
871	8020
872	13189
873	8470
874	51996
875	32049
876	29791
877	1397
878	5281
879	26826
880	23235
881	1762
882	2277
883	5454
884	4319
885	25599
886	51282
887	2881
888	9209
889	7520
890	8296
891	3119
892	8684
893	4407
894	44429
895	44019
896	16098
897	47676
898	266
899	40126
900	30911
901	8271
902	16332
903	26777
904	55893
905	7046
906	52
907	2285
908	37760
909	28350
910	43018
911	16973
912	1075
913	13351
914	9578
915	4625
916	5481
917	41088
918	3033
919	42650
920	36144
921	2725
922	67275
923	6272
924	33415
925	4398
926	14715
927	25178
928	9642
929	4006
930	3836
931	64135
932	19544
933	5787
934	77525
935	8721
936	66282
937	29324
938	6385
939	2445
940	3437
941	8723
942	2224
943	44909
944	24794
945	40840
946	23940
947	59730
948	65318
949	38388
950	2528
951	1423
952	12249
953	67509
954	7307
955	48129
956	31024
957	11986
958	26000
959	3304
960	31034
961	6159
962	25600
963	17137
964	422
965	6879
966	36946
967	511
968	12892
969	2579
970	10398
971	23747
972	30206
973	764
974	24567
975	18274
976	23018
977	28043
978	10714
979	17189
980	21082
981	2802
982	8304
983	70804
984	43448
985	346
986	181
987	27760
988	44817
989	34727
990	31336
991	29195
992	25645
993	27139
994	64
995	66539
996	4885
997	40076
998	44295
999	24948
1000	1201
1001	10755
1002	908
1003	25601
1004	11580
1005	33150
1006	8272
1007	39936
1008	33632
1009	130
1010	6678
1011	25457
1012	131
1013	17819
1014	10894
1015	65
1016	52906
1017	10219
1018	4324
1019	12791
1020	28142
1021	24246
1022	26839
1023	15633
1024	1630
1025	6932
1026	4375
1027	36516
1028	10310
1029	23329
1030	25452
1031	8097
1032	9671
1033	22796
1034	109946
1035	8828
1036	28685
1037	44676
1038	1208
1039	48520
1040	1188
1041	8827
1042	472
1043	176
1044	31664
1045	39586
1046	7744
1047	13669
1048	12115
1049	28686
1050	27910
1051	2906
1052	4422
1053	5349
1054	32153
1055	8181
1056	153
1057	2298
1058	2844
1059	1784
1060	8375
1061	16512
1062	1427
1063	30401
1064	5228
1065	1359
1066	1486
1067	1417
1068	2969
1069	16992
1070	26829
1071	48969
1072	41491
1073	9899
1074	48918
1075	18714
1076	17897
1077	679
1078	67143
1079	54155
1080	6289
1081	197
1082	54177
1083	14688
1084	8535
1085	22835
1086	6014
1087	852
1088	33112
1089	28984
1090	2019
1091	4755
1092	38246
1093	2663
1094	9918
1095	2547
1096	37044
1097	38483
1098	63267
1099	21073
1100	13673
1101	13916
1102	50718
1103	10720
1104	36564
1105	5425
1106	25317
1107	11698
1108	70877
1109	3337
1110	4935
1111	40519
1112	24705
1113	11033
1114	34251
1115	8926
1116	182
1117	34988
1118	25944
1119	13701
1120	2237
1121	19823
1122	2482
1123	12324
1124	54283
1125	21252
1126	29180
1127	3394
1128	38559
1129	9596
1130	27385
1131	1697
1132	37158
1133	1894
1134	26547
1135	518
1136	10885
1137	5024
1138	10297
1139	23985
1140	1166
1141	8107
1142	33000
1143	37761
1144	22698
1145	17077
1146	9952
1147	17425
1148	20884
1149	2462
1150	24375
1151	5715
1152	21149
1153	13888
1154	14450
1155	6635
1156	5690
1157	5487
1158	26934
1159	5177
1160	6933
1161	2754
1162	888
1163	48866
1164	23518
1165	327
1166	21338
1167	4724
1168	6044
1169	19979
1170	4564
1171	55149
1172	19742
1173	14633
1174	1954
1175	49564
1176	19227
1177	40802
1178	11235
1179	3627
1180	8123
1181	4320
1182	21717
1183	17024
1184	40521
1185	12342
1186	6957
1187	103197
1188	15599
1189	33029
1190	5537
1191	25750
1192	30680
1193	2409
1194	7014
1195	14861
1196	19033
1197	4871
1198	66291
1199	2817
1200	15903
1201	39505
1202	64352
1203	68636
1204	54156
1205	43778
1206	26556
1207	37496
1208	6107
1209	45487
1210	22775
1211	8906
1212	2443
1213	17537
1214	23227
1215	2137
1216	24792
1217	40523
1218	2770
1219	17787
1220	3144
1221	39157
1222	1640
1223	13228
1224	1694
1225	9700
1226	3957
1227	23
1228	15710
1229	1883
1230	8008
1231	15033
1232	14055
1233	344
1234	42956
1235	88358
1236	1211
1237	58
1238	26333
1239	12089
1240	8731
1241	1448
1242	1698
1243	21274
1244	2055
1245	6982
1246	63614
1247	9344
1248	6061
1249	24203
1250	33154
1251	4961
1252	6827
1253	788
1254	34599
1255	2714
1256	16135
1257	32859
1258	6306
1259	47493
1260	2336
1261	54157
1262	35854
1263	52228
1264	27199
1265	30964
1266	9541
1267	3191
1268	41830
1269	16546
1270	3436
1271	12060
1272	26054
1273	7478
1274	20885
1275	4309
1276	33220
1277	40543
1278	5580
1279	6041
1280	3101
1281	3110
1282	4760
1283	32376
1284	14050
1285	4112
1286	47522
1287	8663
1288	4136
1289	16327
1290	31682
1291	33277
1292	23786
1293	15600
1294	38328
1295	41373
1296	199
1297	12329
1298	15617
1299	29721
1300	38597
1301	10502
1302	32711
1303	21032
1304	5913
1305	11558
1306	20472
1307	13918
1308	63840
1309	40456
1310	13079
1311	950
1312	7123
1313	10922
1314	36244
1315	36275
1316	11240
1317	60731
1318	7064
1319	19873
1320	8860
1321	42369
1322	12643
1323	2475
1324	42537
1325	31665
1326	6073
1327	6101
1328	8193
1329	36127
1330	19448
1331	3901
1332	46493
1333	2362
1334	147
1335	2410
1336	4693
1337	38950
1338	6511
1339	4255
1340	11926
1341	27352
1342	3111
1343	6559
1344	9546
1345	13375
1346	5036
1347	77
1348	18777
1349	4469
1350	31155
1351	12472
1352	34175
1353	9004
1354	18349
1355	44906
1356	21868
1357	54158
1358	12464
1359	3248
1360	31003
1361	25778
1362	19558
1363	7699
1364	43719
1365	29359
1366	47547
1367	8908
1368	9929
1369	20893
1370	5229
1371	61656
1372	43175
1373	40077
1374	10478
1375	41945
1376	2984
1377	2284
1378	46127
1379	3773
1380	10086
1381	1874
1382	35715
1383	5579
1384	22047
1385	27985
1386	5483
1387	38956
1388	56190
1389	39593
1390	4926
1391	34515
1392	54230
1393	24123
1394	13378
1395	423
1396	97012
1397	26946
1398	44875
1399	45907
1400	2398
1401	7787
1402	28255
1403	30345
1404	17187
1405	12050
1406	29596
1407	504
1408	7471
1409	24107
1410	2599
1411	40593
1412	17542
1413	6672
1414	12677
1415	19024
1416	16381
1417	1647
1418	2502
1419	6872
1420	22046
1421	68870
1422	716
1423	11220
1424	4881
1425	7538
1426	7700
1427	15979
1428	6980
1429	5938
1430	13202
1431	1449
1432	13741
1433	33879
1434	2282
1435	8397
1436	29971
1437	798
1438	10422
1439	15816
1440	53856
1441	44165
1442	5230
1443	45467
1444	10087
1445	58020
1446	11468
1447	2424
1448	29978
1449	3961
1450	12678
1451	6480
1452	148
1453	38605
1454	13381
1455	12514
1456	461
1457	79882
